,protocol,threads,zipf,table_partition,commit,abort,operation,memory,latency_50,latency_75,latency_95,latency_99
0,Calvin,36,0.9,9973,73473.22883999998,0.0,83171695.04409,2407570762.54829,356.4,546.7,853.0,1111.0
1,AriaFB,36,0.9,9973,245821.53183000005,185487.66094999993,278455461.70434004,8055079955.348021,193.9,208.1,274.6,364.3
2,Sparkle,36,0.9,9973,265535.86897999997,129955.18344000005,432550142.17464,8701079354.9484,112.1,140.6,210.5,351.4
3,SpectrumNoPartial,36,0.9,9973,313754.68521,106702.21208000001,465513434.07899,0.0,91.6,122.8,178.3,282.5
4,Spectrum,36,0.9,9973,378921.21658,143341.76267000003,457366445.56029004,13382321656.652002,79.1,92.7,126.3,221.2
5,SpectrumPreSched,36,0.9,9973,365126.49435,120495.24662000006,438847950.85676,12877992504.663292,83.8,98.1,128.1,195.9
6,Calvin,36,1.0,9973,44958.41326,0.0,50892923.779039994,1473197284.79823,802.2,1109.4,1513.7,1805.4
7,AriaFB,36,1.0,9973,187356.79445,178414.52357000002,212266305.84318003,6139307440.60263,278.1,352.5,503.3,723.5
8,Sparkle,36,1.0,9973,129825.95873,224408.53812999994,371872086.3819599,4254137015.9968605,222.7,338.9,654.3,1184.0
9,SpectrumNoPartial,36,1.0,9973,146104.20119999998,173196.92161999998,342624865.3258299,0.0,181.7,305.3,711.7,1128.3
10,Spectrum,36,1.0,9973,166628.34622,177205.67192999998,226360901.70362997,6003980382.725349,139.6,306.4,686.8,1068.1
11,SpectrumPreSched,36,1.0,9973,216531.16486,198673.42017,289790814.60165995,7770217424.47072,132.1,170.0,371.5,584.2
12,Calvin,36,1.1,9973,29703.231370000005,0.0,33624057.89622,973315485.10867,1292.4,1742.7,2273.5,2640.5
13,AriaFB,36,1.1,9973,127247.91465999998,126642.90854,144171282.28432998,4169659667.018789,422.5,505.9,715.7,1043.8
14,Sparkle,36,1.1,9973,31796.057539999998,214595.30647,245460599.50238007,1041893213.3331299,1759.1,2661.8,4266.9,5797.3
15,SpectrumNoPartial,36,1.1,9973,54563.152839999995,254678.28306,313792896.44434994,0.0,613.7,1069.0,2260.0,3630.0
16,Spectrum,36,1.1,9973,90585.82522,264146.24234,166900562.25880998,3456071912.26567,400.1,626.7,1133.6,1691.5
17,SpectrumPreSched,36,1.1,9973,109865.64812,271444.06478,192556360.46841997,4137685344.273609,278.4,443.6,784.3,1198.7
18,Calvin,36,1.2,9973,23757.120740000002,0.0,26893060.65676,778473331.80288,1649.1,2190.3,2707.3,3043.4
19,AriaFB,36,1.2,9973,105922.75107,119872.35024000001,135872426.57537,3929628707.4640703,437.3,526.2,749.5,1098.8
20,Sparkle,36,1.2,9973,7733.255370000001,149254.76445999998,150340872.58200002,253403312.43907005,6621.9,8862.2,12971.9,16128.0
21,SpectrumNoPartial,36,1.2,9973,17804.28988,233063.81637999997,243223515.47394004,0.0,2270.4,3131.1,4703.2,6216.3
22,Spectrum,36,1.2,9973,38764.02233000001,268909.12571000005,114792373.91347,1667742516.85969,815.8,1195.3,2054.4,3016.9
23,SpectrumPreSched,36,1.2,9973,62095.82445,337697.46021999995,158144710.88397998,2558069235.6789303,608.6,841.7,1488.4,2189.2
24,Calvin,36,1.3,9973,22215.74786,0.0,25148226.585059997,727965626.09464,1768.6,2360.5,2905.9,3170.4
25,AriaFB,36,1.3,9973,96598.58971999999,96592.42811000001,109446196.00748,3165342588.4182997,584.5,765.1,1129.5,1594.9
26,Sparkle,36,1.3,9973,4436.29257,133583.29132999998,127640550.17200999,145368435.02969,8555.0,10998.1,14838.1,18160.0
27,SpectrumNoPartial,36,1.3,9973,7308.49363,161421.13848000002,160211139.89166,0.0,5505.7,6879.6,9395.4,11768.0
28,Spectrum,36,1.3,9973,21491.519829999997,248849.19074,91748817.60524002,1051111512.3966501,1890.5,2623.9,4046.2,5388.6
29,SpectrumPreSched,36,1.3,9973,50011.84001999999,415703.99636000005,164848204.54642,2238815688.11863,760.2,955.9,1386.5,1960.5